data_boletim,data,t_dias,VNRainha,Azambuja,AvBaixo,AvCima,VParaiso,Alcoentre,UFreg,total,ND,Concelho
06/04/2020,05/04/2020,1,,1,,1,1,,,3,0,3
07/04/2020,06/04/2020,2,,1,,1,1,,,3,0,3
08/04/2020,07/04/2020,3,,1,1,1,1,,,4,0,4
09/04/2020,08/04/2020,4,,1,1,1,1,1,,5,0,5
10/04/2020,09/04/2020,5,,1,1,1,1,1,,5,0,5
11/04/2020,10/04/2020,6,,1,1,1,1,1,,5,0,5
12/04/2020,11/04/2020,7,,1,3,1,1,1,,7,0,7
13/04/2020,12/04/2020,8,,1,3,1,1,1,,7,0,7
14/04/2020,13/04/2020,9,,1,3,1,1,1,,7,0,7
15/04/2020,14/04/2020,10,,1,3,1,1,1,,7,0,7
16/04/2020,15/04/2020,11,,,,,,,,0,7,7
17/04/2020,16/04/2020,12,,,,,,,,0,8,8
18/04/2020,17/04/2020,13,,,3,1,1,1,1,7,0,7
19/04/2020,18/04/2020,14,,,3,2,1,1,2,9,0,9
20/04/2020,19/04/2020,15,,,,,,,,0,10,10
21/04/2020,20/04/2020,16,,,,,,,,0,9,9
22/04/2020,21/04/2020,17,,,,,,,,0,11,11
23/04/2020,22/04/2020,18,,,,,,,,0,11,11
24/04/2020,23/04/2020,19,,,,,,,,0,7,7
25/04/2020,24/04/2020,20,,,,,,,,0,7,7
26/04/2020,25/04/2020,21,,,,,,,,0,7,7
27/04/2020,26/04/2020,22,,,,,,,,0,8,8
28/04/2020,27/04/2020,23,,,,,,,,0,10,10
29/04/2020,28/04/2020,24,,,,,,,,0,12,12
30/04/2020,29/04/2020,25,,5,,3,,,,8,2,10
01/05/2020,30/04/2020,26,,,,,,,,0,10,10
02/05/2020,01/05/2020,27,,15,,4,,,,19,2,21
03/05/2020,02/05/2020,28,,,,,,,,0,21,21
04/05/2020,03/05/2020,29,,,,,,,,0,21,21
05/05/2020,04/05/2020,30,,16,,7,,,3,26,0,26
06/05/2020,05/05/2020,31,,22,,7,,,,29,3,32
07/05/2020,06/05/2020,32,,25,,10,,,,35,3,38
08/05/2020,07/05/2020,33,,26,,11,,,,37,3,40
09/05/2020,08/05/2020,34,,27,,11,,,,38,3,41
10/05/2020,09/05/2020,35,,27,,11,,,,38,3,41
11/05/2020,10/05/2020,36,,29,,11,,,,40,3,43
12/05/2020,11/05/2020,37,,30,,11,,,,41,4,45
13/05/2020,12/05/2020,38,,30,,10,,,,40,5,45
14/05/2020,13/05/2020,39,,31,,12,,,,43,4,47
15/05/2020,14/05/2020,40,,31,,12,,,,43,5,48
16/05/2020,15/05/2020,41,,34,,12,,,,46,4,50
17/05/2020,16/05/2020,42,,34,,12,,,,46,4,50
18/05/2020,17/05/2020,43,,34,,12,,,,46,4,50
19/05/2020,18/05/2020,44,,34,,12,,,,46,3,49
20/05/2020,19/05/2020,45,,34,,6,,,,40,2,42
21/05/2020,20/05/2020,46,,36,,6,,,,42,2,44
