data_boletim,data,t (dias),MM7_Cact,MM7_CasNov,MM7_CasTot,MM14_Cact,MM14_Cnov,MM14_Ctot
6/04/2020,05/04/2020,1,4.57,0.67,4.88,6.00,0.54,6.14
7/04/2020,06/04/2020,2,5.14,0.57,5.38,6.50,0.57,6.71
8/04/2020,07/04/2020,3,5.71,0.57,5.88,6.93,0.57,7.29
9/04/2020,08/04/2020,4,6.14,0.43,6.25,7.43,0.64,7.93
10/04/2020,09/04/2020,5,6.43,0.29,6.63,7.86,0.57,8.50
11/04/2020,10/04/2020,6,6.86,0.43,7.00,8.00,0.57,9.07
12/04/2020,11/04/2020,7,7.14,0.43,7.63,8.14,0.57,9.64
13/04/2020,12/04/2020,8,7.43,0.43,8.13,8.14,0.43,10.07
14/04/2020,13/04/2020,9,7.86,0.57,8.63,8.21,0.50,10.57
15/04/2020,14/04/2020,10,8.14,0.57,9.38,8.43,0.64,11.21
16/04/2020,15/04/2020,11,8.71,0.86,10.13,8.79,0.79,12.00
17/04/2020,16/04/2020,12,9.29,0.86,10.88,9.00,0.79,12.79
18/04/2020,17/04/2020,13,9.14,0.71,11.50,9.14,0.71,13.50
19/04/2020,18/04/2020,14,9.14,0.71,12.13,10.14,1.50,15.00
20/04/2020,19/04/2020,15,8.86,0.43,12.63,11.00,1.36,16.36
21/04/2020,20/04/2020,16,8.57,0.43,13.25,11.79,1.29,17.64
22/04/2020,21/04/2020,17,8.71,0.71,14.13,13.00,1.64,19.29
23/04/2020,22/04/2020,18,8.86,0.71,14.75,14.50,1.93,21.21
24/04/2020,23/04/2020,19,8.71,0.71,15.38,16.43,2.36,23.57
25/04/2020,24/04/2020,20,9.14,0.71,17.38,18.79,2.50,26.07
26/04/2020,25/04/2020,21,11.14,2.29,19.38,21.21,2.57,28.64
27/04/2020,26/04/2020,22,13.14,2.29,21.38,23.64,2.57,31.21
28/04/2020,27/04/2020,23,15.00,2.14,23.88,26.14,2.64,33.86
29/04/2020,28/04/2020,24,17.29,2.57,26.88,28.64,2.64,36.57
30/04/2020,29/04/2020,25,20.14,3.14,30.38,31.00,2.50,39.36
1/05/2020,30/04/2020,26,24.14,4.00,34.13,33.64,2.64,42.29
2/05/2020,01/05/2020,27,28.43,4.29,38.00,36.36,2.71,45.29
03/05/2020,02/05/2020,28,31.29,2.86,40.50,38.43,2.07,47.64
04/05/2020,03/05/2020,29,34.14,2.86,43.25,40.50,2.07,50.00
05/05/2020,04/05/2020,30,37.29,3.14,46.38,42.57,2.07,52.36
06/05/2020,05/05/2020,31,40.00,2.71,49.25,44.21,1.71,54.36
07/05/2020,06/05/2020,32,41.86,1.86,51.63,44.93,1.29,56.14
08/05/2020,07/05/2020,33,43.14,1.29,53.38,45.36,1.00,57.64
09/05/2020,08/05/2020,34,44.29,1.14,55.13,45.86,1.07,59.21
10/05/2020,09/05/2020,35,45.57,1.29,56.75,46.29,1.00,60.71
11/05/2020,10/05/2020,36,46.86,1.29,58.38,46.86,1.14,62.36
12/05/2020,11/05/2020,37,47.86,1.00,59.75,47.36,1.07,63.93
13/05/2020,12/05/2020,38,48.43,0.71,61.13,47.57,0.93,65.29
14/05/2020,13/05/2020,39,48.00,0.71,62.38,48.00,1.14,66.71
15/05/2020,14/05/2020,40,47.57,0.71,63.75,48.29,1.00,68.14
16/05/2020,15/05/2020,41,47.43,1.00,65.00,48.64,1.07,69.71
17/05/2020,16/05/2020,42,47.00,0.71,66.25,49.07,1.14,71.36
18/05/2020,17/05/2020,43,46.86,1.00,67.63,49.86,1.50,73.36
19/05/2020,18/05/2020,44,46.86,1.14,69.00,50.93,1.79,75.64
20/05/2020,19/05/2020,45,46.71,1.14,70.88,52.14,1.86,78.29
21/05/2020,20/05/2020,46,48.00,1.57,72.63,53.79,1.86,80.79
22/05/2020,21/05/2020,47,49.00,1.29,74.50,56.00,2.43,84.00
23/05/2020,22/05/2020,48,49.86,1.14,76.38,58.21,2.43,87.14
24/05/2020,23/05/2020,49,51.14,1.57,78.88,60.43,2.43,90.29
25/05/2020,24/05/2020,50,52.86,2.00,81.63,62.93,2.71,93.71
26/05/2020,25/05/2020,51,55.00,2.43,84.88,65.43,2.71,97.14
27/05/2020,26/05/2020,52,57.57,2.57,88.25,68.50,3.14,101.00
28/05/2020,27/05/2020,53,59.57,2.14,92.63,71.57,3.14,104.79
